序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,_is_main,_tier,_strength_pct
35,603090,宏盛股份,10.007651329040527,71.89,643794336,7189000000.0,7189000000.0,9.225899696350098,61214335,104831,105104,1,1/1,1,通用设备,True,Tier3_10:00-11:30,0.8515
36,002787,华源控股,9.992193222045898,28.18,506555872,7069238012.5199995,9445276362.56,7.458430767059326,59893772,105800,105800,0,1/1,1,包装印刷,True,Tier3_10:00-11:30,0.8472450905447648
37,002072,凯瑞德,10.070921897888184,7.76,240631179,2852046768.0,2853196800.0,8.600997924804688,3330592,110054,110054,0,1/1,1,贸易Ⅱ,True,Tier3_10:00-11:30,0.1167790106869664
38,000695,滨海能源,9.98641300201416,16.19,330723712,3591122745.1600003,3752067130.4100003,9.611059188842773,71550069,111457,111457,0,1/1,1,电池,True,Tier3_10:00-11:30,1.9924150210803258
39,000890,法尔胜,10.017123222351074,12.85,794376320,5390459941.099999,5390625988.8,15.68266773223877,96112860,111509,130121,1,1/1,1,环保设备,True,Tier3_10:00-11:30,1.7830177953309643
40,002654,万润科技,9.98288631439209,19.28,4780321024,16296276248.320002,16297433048.320002,30.15134620666504,32495071,112733,145054,4,6/3,1,光学光电,True,Tier3_10:00-11:30,0.19940181735290569
41,600962,国投中鲁,9.984089851379395,27.65,271355680,7250106500.0,7250106500.0,3.855196714401245,105540879,130115,130115,0,1/1,1,农产品加,True,下午_排除,1.4557148781193767
42,002407,多氟多,10.002703666687012,40.69,8014084096,43895043268.049995,48438701517.439995,19.1416072845459,321707143,130409,130409,0,4/2,1,化学制品,True,下午_排除,0.7329008449438341
43,603324,盛剑科技,10.017952919006348,30.64,268358728,4524902331.2,4524902331.2,6.178863525390625,43127025,130537,130634,1,1/1,1,环保设备,True,下午_排除,0.9531039974638028
44,002169,智光电气,10.0246000289917,17.89,1490604832,13572677269.630001,14002576277.44,11.493416786193848,73476019,130736,134700,3,1/1,1,电网设备,True,下午_排除,0.5413524357822074
45,002126,银轮股份,10.007567405700684,58.15,2089236096,46183627021.9,49241774482.4,4.702167987823486,66174700,130903,135012,3,1/1,1,汽车零部,True,下午_排除,0.14328606102898836
46,603186,华正新材,9.99710464477539,113.99,1756796384,17872551146.82,17872551146.82,10.291607856750488,70603468,131019,134958,4,1/1,1,元件,True,下午_排除,0.3950385561636075
47,600615,鑫源智造,9.964093208312988,12.25,102021452,2759509112.5,2763901472.5,3.8247218132019043,7904435,131319,131343,1,1/1,1,工业金属,True,下午_排除,0.2864435186749179
48,603061,金海通,10.0,348.59,1136928624,30327329999.999996,30327329999.999996,3.897055149078369,86345743,131600,131700,1,1/1,1,半导体,True,下午_排除,0.28471264367816096
49,001313,粤海饲料,10.0,9.79,260759528,6844710327.289999,6852999999.999999,4.016774654388428,82786100,132733,132733,0,1/1,1,饲料,True,下午_排除,1.2094901908402191
51,601133,柏诚股份,10.009910583496094,33.3,1421672416,17462078575.199997,17583013785.6,8.554901123046875,108624600,135214,135214,0,4/3,1,专业工程,True,下午_排除,0.6220599657263648
52,002645,华宏科技,10.010960578918457,30.11,1168443808,16829308560.61,18897047080.48,7.3397064208984375,102419676,140409,140409,0,1/1,1,环保设备,True,下午_排除,0.6085792273113309
53,001266,宏英智能,9.99144172668457,51.41,441185552,2988900387.8199997,5327995752.219999,15.505069732666016,83176239,140857,140857,0,1/1,1,自动化设,True,下午_排除,2.7828374387768027
55,605288,凯迪股份,10.0,104.61,480615328,7343508184.32,7393103785.32,6.869324207305908,17778469,142337,143443,3,2/2,2,自动化设,True,下午_排除,0.24209776245583725
58,603986,兆易创新,10.000988960266113,445.02,26523529216,297204286665.72,312004611408.95996,9.135738372802734,1061124823,143752,143752,0,1/1,1,半导体,True,下午_排除,0.35703550406508716
59,603375,盛景微,9.997912406921387,52.7,337241184,3361254958.3,5305133350.900001,10.589262962341309,24016549,144014,144014,0,1/1,1,半导体,True,下午_排除,0.7145113744107854
60,001259,利仁科技,9.99863338470459,80.53,763635168,3828758504.4700003,5926113150.64,20.793535232543945,18736834,144436,144436,0,8/8,8,小家电,True,下午_排除,0.48937100572222336
61,603663,三祥新材,10.007216453552246,45.73,787861152,19335547167.5,19357497293.12,4.241880893707275,131661243,145432,145432,0,1/1,1,化学原料,True,下午_排除,0.6809284571025833
