date,stop_loss_price,code,score
2025-02-14,7.25,000002,0.6047351621326864
2025-02-14,7.25,000002,0.6047351621326864
2025-02-17,7.25,000002,0.5523144880295944
2025-02-17,7.25,000002,0.5523144880295944
2025-02-18,7.25,000002,0.5218295813747325
2025-02-18,7.25,000002,0.5218295813747325
2025-02-19,7.25,000002,0.5058036938222628
2025-02-19,7.25,000002,0.5058036938222628
2025-02-20,7.25,000002,0.39964953281654353
2025-02-20,7.25,000002,0.39964953281654353
2025-02-21,7.25,000002,0.4049988684796699
2025-02-21,7.25,000002,0.4049988684796699
2025-02-24,7.25,000002,0.4879502878233676
2025-02-24,7.25,000002,0.4879502878233676
2025-02-25,7.25,000002,0.43402117008388447
2025-02-25,7.25,000002,0.43402117008388447
2025-02-26,7.25,000002,0.4280576019935913
2025-02-26,7.25,000002,0.4280576019935913
2025-02-27,7.25,000002,0.3543939038208062
2025-02-27,7.25,000002,0.3543939038208062
2025-02-28,7.25,000002,0.397635520100371
2025-02-28,7.25,000002,0.397635520100371
2025-03-03,7.25,000002,0.3563386690708581
2025-03-03,7.25,000002,0.3563386690708581
2025-03-04,7.25,000002,0.2721272193465125
2025-03-04,7.25,000002,0.2721272193465125
2025-03-05,7.25,000002,0.06272913020775493
2025-03-05,7.25,000002,0.06272913020775493
2025-12-12,4.76,000002,0.46924371941051574
2025-12-12,4.76,000002,0.46924371941051574
2025-12-15,4.76,000002,0.3158801745942578
2025-12-15,4.76,000002,0.3158801745942578
2025-12-16,4.76,000002,0.35435329520923897
2025-12-16,4.76,000002,0.35435329520923897
2025-12-17,4.76,000002,0.30035723962916805
2025-12-17,4.76,000002,0.30035723962916805
2025-12-18,4.76,000002,0.2349189959450896
2025-12-18,4.76,000002,0.2349189959450896
2025-12-19,4.76,000002,0.19287088081815076
2025-12-19,4.76,000002,0.19287088081815076
2025-12-22,4.76,000002,0.20036601310972382
2025-12-22,4.76,000002,0.20036601310972382
2025-12-23,4.76,000002,0.2396726775084369
2025-12-23,4.76,000002,0.2396726775084369
2025-12-24,4.76,000002,0.08240745880279249
2025-12-24,4.76,000002,0.08240745880279249
2025-12-25,4.76,000002,0.1629538093866416
2025-12-25,4.76,000002,0.1629538093866416
2025-12-26,4.76,000002,0.08047252700229322
2025-12-26,4.76,000002,0.08047252700229322
2025-12-29,4.76,000002,0.05895364599989715
2025-12-29,4.76,000002,0.05895364599989715
2025-12-30,4.76,000002,0.037127505004662296
2025-12-30,4.76,000002,0.037127505004662296
2025-12-31,4.76,000002,0.02648514888161413
2025-12-31,4.76,000002,0.02648514888161413
2025-01-02,18.75,000004,0.008017366183446784
2025-01-03,18.75,000004,0.00805207218242353
2025-01-06,18.75,000004,0.00777489835978685
2025-01-07,18.75,000004,0.007468194239051547
2025-01-08,18.75,000004,0.007310102326722723
2025-01-09,18.75,000004,0.007458255804520197
2025-01-10,18.75,000004,0.007708339834213546
2025-01-13,18.75,000004,0.0074439087760695645
2025-01-14,18.75,000004,0.008058484451820188
2025-01-15,18.75,000004,0.007708014817927636
2025-01-16,18.75,000004,0.0077972214164915175
2025-01-17,18.75,000004,0.00687304369306995
2025-01-20,18.75,000004,0.0065671803056773625
2025-01-21,18.75,000004,0.006498281836489891
2025-01-22,18.75,000004,0.006557868977242805
2025-01-23,18.75,000004,0.0067130266626441015
2025-01-24,18.75,000004,0.005948963921534758
2025-01-27,18.75,000004,0.005982113025020134
2025-02-05,18.75,000004,0.005339978796668154
2025-02-06,18.75,000004,0.007146182014959577
2025-02-07,18.75,000004,0.008220862512490539
2025-02-10,18.75,000004,0.005807707786083288
2025-04-18,9.35,000004,0.6339177650174431
2025-04-21,9.35,000004,0.5953471902928322
2025-04-22,9.35,000004,0.14216687055057323
2025-04-23,9.35,000004,0.1075349027329178
2025-04-24,9.35,000004,0.03620296114673965
2025-04-25,9.35,000004,0.03334777039339435
2025-04-28,9.35,000004,0.007461553682097693
2025-04-30,9.35,000004,0.006075105685254815
2025-05-06,9.35,000004,0.006257323116846493
2025-05-07,9.35,000004,0.007750829105240459
2025-05-08,9.35,000004,0.006728327680260244
2025-05-09,9.35,000004,0.006382702715973194
2025-05-12,9.35,000004,0.006954366244208956
2025-05-13,9.35,000004,0.00764413544197361
2025-05-14,9.35,000004,0.008632958353394681
2025-05-15,9.35,000004,0.012463878262263492
2025-05-16,9.35,000004,0.007003164335353687
2025-05-19,9.35,000004,0.008135774933968047
2025-05-20,9.35,000004,0.03463443101972721
2025-05-21,9.35,000004,0.21410616637597676
2025-05-22,9.35,000004,0.21619487752815922
2025-05-23,9.35,000004,0.04301110192696805
2025-05-26,9.35,000004,0.14724881714537374
2025-05-27,9.35,000004,0.1173097017549357
2025-05-28,9.35,000004,0.1324812216065685
2025-05-29,9.35,000004,0.1056698858573701
2025-05-30,9.35,000004,0.11983714023162852
2025-06-03,9.35,000004,0.027149411345152884
2025-01-02,8.57,000006,0.010538844685225797
2025-01-03,8.57,000006,0.006854913142585434
2025-01-06,8.57,000006,0.00609142860311842
2025-01-07,8.57,000006,0.00579033663386865
2025-01-08,8.57,000006,0.0062120267106565465
2025-01-09,8.57,000006,0.005507889962254283
2025-01-10,8.57,000006,0.004154890997086556
2025-01-23,6.9,000006,0.6649244960909355
2025-01-24,6.9,000006,0.6491319710192898
2025-01-27,6.9,000006,0.3693341779672608
2025-02-05,6.9,000006,0.30997314414255384
2025-02-06,6.9,000006,0.5167255220142233
2025-02-07,6.9,000006,0.5282156805914424
2025-02-10,6.9,000006,0.5682379129744516
2025-02-11,6.9,000006,0.5211501805784146
2025-02-12,6.9,000006,0.5142041016902617
2025-02-13,6.9,000006,0.4781243442818353
2025-02-14,6.9,000006,0.44499543126553837
2025-02-17,6.9,000006,0.4206258260828783
2025-02-18,6.9,000006,0.10214123840184781
2025-02-19,6.9,000006,0.09274634113219458
2025-02-20,6.9,000006,0.16066685713305387
2025-02-21,6.9,000006,0.0824769260596854
2025-02-24,6.9,000006,0.05734114091178026
2025-02-25,6.9,000006,0.03879301170862216
2025-02-26,6.9,000006,0.08430017141112388
2025-02-27,6.9,000006,0.2048788014915484
2025-02-28,6.9,000006,0.06342808218717774
2025-03-03,6.9,000006,0.05022451146411944
2025-03-04,6.9,000006,0.07983981760884185
2025-03-05,6.9,000006,0.05774489272163044
2025-03-06,6.9,000006,0.08791462547092198
2025-03-07,6.9,000006,0.04197467847522475
2025-03-10,6.9,000006,0.02991082437627794
2025-03-11,6.9,000006,0.05031812169621868
2025-04-01,6.72,000006,0.5856047049387314
2025-04-02,6.72,000006,0.5870373922155571
2025-04-03,6.72,000006,0.5044867880426683
2025-04-07,6.72,000006,0.02496621513616433
2025-04-08,6.72,000006,0.008113256676499972
2025-04-09,6.72,000006,0.00825155246367411
2025-04-10,6.72,000006,0.007353513625185834
2025-04-11,6.72,000006,0.010265696909513487
2025-04-14,6.72,000006,0.02285633677675763
2025-04-15,6.72,000006,0.010717444299811639
2025-04-16,6.72,000006,0.00697842662380945
2025-04-17,6.72,000006,0.008438441864844189
2025-04-18,6.72,000006,0.026394623688718963
2025-04-21,6.72,000006,0.019330466174586603
2025-04-22,6.72,000006,0.018159368508182207
2025-04-23,6.72,000006,0.01953080627315152
2025-04-24,6.72,000006,0.013845278353117102
2025-04-25,6.72,000006,0.007331777723907547
2025-04-28,6.72,000006,0.006492369246061012
