min_score,topk,sell_n,trailing_stop,take_profit,max_entry_over_first_close,scale_in_steps,initial_cash,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,num_sells,sell_avg_return,sell_median_return
0.58,3,6,0.05,0.0,0.08,2,10000000.0,10662652.303142956,0.06626523031429565,0.07029717666817348,1.3771636356443393,-0.030009500337667028,107,0.41509433962264153,53,0.017812192574488538,-0.025650321761986672
0.58,3,6,0.05,0.12,0.08,2,10000000.0,10492373.51768736,0.04923735176873589,0.05220802520357504,1.2727632137249427,-0.024714867859137013,108,0.4444444444444444,54,0.015196713508869364,-0.012160559873701793
0.58,3,4,0.05,0.12,0.08,2,10000000.0,10481501.294768644,0.04815012947686448,0.051053624563161204,1.2568236125169625,-0.021311876047836242,113,0.4642857142857143,56,0.01487426067634162,-0.015176527565819387
0.58,2,6,0.05,0.0,0.08,2,10000000.0,10491725.910447482,0.04917259104474825,0.052139261009432,1.2285757277107319,-0.030308210102405586,87,0.37209302325581395,43,0.015329508960203929,-0.02954714316806384
0.58,3,4,0.05,0.0,0.08,2,10000000.0,10509441.744284326,0.05094417442843269,0.05402045260094801,1.1462220511954153,-0.027359809535308033,110,0.4444444444444444,54,0.01331762435081899,-0.020370134603606815
0.58,2,6,0.05,0.12,0.08,2,10000000.0,10303352.2581313,0.030335225813129973,0.032148039628456804,0.9085474962508103,-0.028407806807784874,90,0.4222222222222222,45,0.01123526881967793,-0.016075134177520045
0.58,2,4,0.05,0.12,0.08,2,10000000.0,10260235.779371195,0.026023577937119402,0.02757529669804315,0.7958773559693658,-0.0243158581489189,95,0.44680851063829785,47,0.009876228486795289,-0.016075134177520045
0.58,3,6,0.05,0.12,0.04,2,10000000.0,10221317.294031447,0.022131729403144673,0.02344874475662584,0.7313750631895014,-0.019824043948066583,72,0.4166666666666667,36,0.010246171019974718,-0.02086272796975336
0.58,3,4,0.05,0.12,0.04,2,10000000.0,10204949.211557783,0.020494921155778334,0.02171350235884395,0.6851360182791131,-0.02271874986632272,72,0.4166666666666667,36,0.009488389423971835,-0.015176527565819387
0.58,2,4,0.05,0.0,0.08,2,10000000.0,10204232.916845374,0.02042329168453727,0.02163756898135749,0.5533223886519136,-0.029965247590083677,92,0.4,45,0.004677118575095562,-0.03045643992737368
0.58,2,6,0.05,0.12,0.04,2,10000000.0,10140123.779827856,0.014012377982785651,0.014842723416691905,0.5144357941693485,-0.020508824375768397,66,0.36363636363636365,33,0.007076958577164828,-0.02776143618832938
0.58,3,6,0.05,0.0,0.04,2,10000000.0,10167771.858451337,0.01677718584513377,0.017772798990060235,0.5013565896779298,-0.0250700211771111,71,0.4,35,0.0034070132941484027,-0.025650321761986672
0.58,2,4,0.05,0.12,0.04,2,10000000.0,10125218.302204678,0.012521830220467711,0.013263272329909315,0.4666653955367969,-0.024411500562568134,66,0.36363636363636365,33,0.006324156677004374,-0.024665135029693586
0.58,3,4,0.05,0.0,0.04,2,10000000.0,10151403.775977673,0.015140377597767207,0.016038093066164105,0.4576835981348056,-0.026281732342914976,71,0.4,35,0.0026275807954025793,-0.016075134177520045
0.58,2,6,0.05,0.0,0.04,2,10000000.0,10055804.059235165,0.005580405923516496,0.005909633189006058,0.20183732305419924,-0.029527168852385932,63,0.3548387096774194,31,-0.0021731462386587936,-0.02776143618832938
0.58,2,4,0.05,0.0,0.04,2,10000000.0,10040898.581611987,0.004089858161198778,0.004330958294143095,0.15348221742218704,-0.03342780442515059,63,0.3548387096774194,31,-0.002974516003345729,-0.024665135029693586
0.64,2,4,0.05,0.0,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,2,4,0.05,0.0,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,2,4,0.05,0.12,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,2,4,0.05,0.12,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,2,6,0.05,0.0,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,2,6,0.05,0.0,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,2,6,0.05,0.12,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,2,6,0.05,0.12,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,4,0.05,0.0,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,4,0.05,0.0,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,4,0.05,0.12,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,4,0.05,0.12,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,6,0.05,0.0,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,6,0.05,0.0,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,6,0.05,0.12,0.04,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
0.64,3,6,0.05,0.12,0.08,2,10000000.0,10000000.0,0.0,0.0,,0.0,0,,0,,
