date,code,open,high,low,close,volume,name,score,limit_date,wash_date,wash_turnover_rate,wash_turnover_tier,wash_turnover_min,wash_turnover_max,wash_float_market_cap,confirm_return,confirm_high_return,volume_ratio,buy_price,next_date,next_high_return,next_close_return,next_low_return,next_open_return,label_3,limit_day_return,limit_day_open_return,limit_day_amount,limit_day_turnover_rate,limit_day_vol_ratio_5,limit_day_vol_ratio_10,limit_day_vol_ratio_20,limit_day_amp,is_yizi,market_filter_ok,market_return,market_ma,limit_pool_name,limit_pool_turnover_rate,limit_pool_float_market_cap,limit_pool_total_market_cap,limit_pool_amount,limit_pool_seal_amount,limit_pool_first_limit_time,limit_pool_last_limit_time,limit_pool_open_board_count,limit_pool_prev_limit_time,limit_pool_first_limit_time_tier,limit_pool_first_limit_time_tier_rank,limit_pool_seal_strength_pct,prev_limit_time
2026-04-29,600400,2.41,2.53,2.36,2.51,128484500.0,,4.159712450617122,2026-04-27,2026-04-28,7.0090460777282715,50e_100e,4.0,15.0,5590947318.88,0.0286885245901638,0.03688524590163933,1.290859991600742,2.51,2026-04-30,0.09960159362549792,0.09960159362549792,-0.007968127490039723,-0.003984063745019806,True,0.09954751131221728,0.0,,,1.6637729908565504,2.4162889540613053,3.2270836172074673,0.1045454545454545,False,True,0.035026822341432506,16.019,,,,,,,,,,,,,,
2026-04-29,603125,22.45,22.98,22.33,22.66,17557527.0,,3.919701049759667,2026-04-27,2026-04-28,6.236504077911377,50e_100e,4.0,15.0,9108818437.5,0.007111111111111068,0.021333333333333426,3.20858993864856,22.66,2026-04-30,0.02824360105913515,-0.026037069726390083,-0.026037069726390083,-0.013239187996469615,False,0.09984639016897079,0.04966717869943671,,,1.4831327930891365,2.0890461592163216,2.5795359040025883,0.04780487804878053,False,True,0.035026822341432506,16.019,,,,,,,,,,,,,,
2026-04-29,600830,9.73,10.29,9.71,10.14,32176476.0,,3.168936188623528,2026-04-27,2026-04-28,9.786238670349121,lt_50e,5.0,20.0,4547770697.47,0.012987012987013102,0.027972027972027913,1.8702348899222176,10.14,2026-04-30,0.020710059171597628,-0.023668639053254448,-0.023668639053254448,-0.0039447731755425375,False,0.10034602076124566,0.0011534025374855261,,,3.157941383696723,4.257691911955194,4.891251425834391,0.10930232558139519,False,True,0.035026822341432506,16.019,,,,,,,,,,,,,,
2026-04-29,002154,4.03,4.13,4.0,4.11,69872869.0,,3.054017892578119,2026-04-27,2026-04-28,12.122162818908691,lt_50e,5.0,20.0,4789879711.679999,0.012315270935960854,0.017241379310344973,1.8224907989820336,4.11,2026-04-30,0.058394160583941535,0.012165450121654375,0.0048661800486617945,0.029197080291970767,True,0.09917355371900838,0.09641873278236912,,,2.8548074440627214,3.1495321028408485,4.3847323452368405,0.005037783375314797,False,True,0.035026822341432506,16.019,,,,,,,,,,,,,,
2026-04-29,600815,4.36,4.49,4.25,4.43,121204387.0,,2.498453977274098,2026-04-27,2026-04-28,11.639861106872559,50e_100e,4.0,15.0,7752792877.6,0.013729977116704761,0.027459954233409745,1.125456265603622,4.43,2026-04-30,0.013544018058690765,-0.004514672686230181,-0.02934537246049662,0.011286681715575675,False,0.10051546391752564,0.002577319587628857,,,0.822175180234142,1.1333570152927486,1.321792708050728,0.10621761658031081,False,True,0.035026822341432506,16.019,,,,,,,,,,,,,,
2026-04-29,002029,11.08,11.43,11.0,11.23,21298472.0,,2.301449052423151,2026-04-27,2026-04-28,5.713212966918945,50e_100e,4.0,15.0,7386006144.9,0.011711711711711814,0.029729729729729648,1.1302778812519698,11.23,2026-04-30,0.029385574354407806,-0.009795191451469343,-0.012466607301869992,0.008904719501335645,False,0.09980237154150218,0.06719367588932812,,,1.4883270550375336,1.7536298630782459,1.8629977801838407,0.04409005628517826,False,True,0.035026822341432506,16.019,,,,,,,,,,,,,,
2026-04-30,002715,17.11,17.88,16.93,17.5,15370500.0,,3.586998387947134,2026-04-28,2026-04-29,13.586651802062988,lt_50e,5.0,20.0,2365320000.0,0.02100350058343059,0.043173862310385,1.486648329604075,17.5,2026-05-06,0.011428571428571344,0.004571428571428449,-0.01942857142857146,-0.014857142857142902,False,0.10019267822736033,0.012845215157353929,,,2.4377024173727357,3.000414615515717,2.972859344589548,0.08900190718372536,False,True,0.0006097560975610872,16.065,,,,,,,,,,,,,,
2026-04-30,603283,53.98,55.25,53.41,53.83,16728604.0,,1.4808284521992343,2026-04-28,2026-04-29,8.491005897521973,100e_300e,3.0,10.0,14589162975.4,0.0005576208178439401,0.02695167286245348,1.4250663704148403,53.83,2026-05-06,0.06446219580159762,0.01894854170536875,0.017276611554895016,0.04922905443061487,True,0.09999999999999987,0.05633802816901401,,,1.3788673472336324,1.3305211986382053,1.362710100594997,0.041333333333333444,False,True,0.0006097560975610872,16.065,,,,,,,,,,,,,,
2026-05-06,002111,11.25,11.51,11.12,11.44,39047225.0,,6.552657524084495,2026-04-29,2026-04-30,10.906636238098145,50e_100e,4.0,15.0,5386035314.72,0.038112522686025496,0.04446460980036293,2.7414052554819452,11.44,2026-05-07,0.012237762237762295,-0.011363636363636243,-0.022727272727272707,-0.007867132867132809,False,0.10020876826722325,0.09290187891440516,,,2.190413975878056,2.8557584512112797,2.9008641855132655,0.010546500479386323,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,600111,53.12,55.55,52.51,55.52,238914749.0,,6.125129004513733,2026-04-29,2026-04-30,7.505285739898682,gte_300e,1.5,8.0,191743092259.68,0.046757164404223284,0.04732277526395179,1.4494125640914046,55.52,2026-05-07,0.01729106628242061,-0.0037824207492795914,-0.01693083573487042,0.00018011527377526093,False,0.09995682210708123,0.025474956822107098,,,1.833000898636993,1.7954154496648211,1.9482286268208227,0.07285744367235214,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,603013,20.41,20.85,20.36,20.74,11270400.0,,5.192266267684172,2026-04-29,2026-04-30,3.7466509342193604,100e_300e,3.0,10.0,10372761301.24,0.016168544830965192,0.02155805977462033,3.575411784587652,20.74,2026-05-07,0.025072324011572,0.013982642237222898,-0.005785920925747257,-0.00048216007714552145,False,0.09994508511806699,0.06919275123558477,,,1.6523838187019466,1.7017365982970492,1.7179265340278953,0.028762198253723836,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
