date,code,open,high,low,close,volume,name,score,limit_date,wash_date,wash_turnover_rate,wash_turnover_tier,wash_turnover_min,wash_turnover_max,wash_float_market_cap,confirm_return,confirm_high_return,volume_ratio,buy_price,next_date,next_high_return,next_close_return,next_low_return,next_open_return,label_3,limit_day_return,limit_day_open_return,limit_day_amount,limit_day_turnover_rate,limit_day_vol_ratio_5,limit_day_vol_ratio_10,limit_day_vol_ratio_20,limit_day_amp,is_yizi,market_filter_ok,market_return,market_ma,limit_pool_name,limit_pool_turnover_rate,limit_pool_float_market_cap,limit_pool_total_market_cap,limit_pool_amount,limit_pool_seal_amount,limit_pool_first_limit_time,limit_pool_last_limit_time,limit_pool_open_board_count,limit_pool_prev_limit_time,limit_pool_first_limit_time_tier,limit_pool_first_limit_time_tier_rank,limit_pool_seal_strength_pct,prev_limit_time,selected_after_factors
2026-04-29,600400,2.41,2.53,2.36,2.51,128484500.0,,4.159712450617122,2026-04-27,2026-04-28,7.0090460777282715,fixed,3.0,10.0,,0.0286885245901638,0.03688524590163933,1.290859991600742,2.51,2026-04-30,0.09960159362549792,0.09960159362549792,-0.007968127490039723,-0.003984063745019806,True,0.09954751131221728,0.0,,,1.6637729908565504,2.4162889540613053,3.2270836172074673,0.1045454545454545,False,True,,,,,,,,,,,,,,,,,True
2026-04-29,603125,22.45,22.98,22.33,22.66,17557527.0,,3.919701049759667,2026-04-27,2026-04-28,6.236504077911377,fixed,3.0,10.0,,0.007111111111111068,0.021333333333333426,3.20858993864856,22.66,2026-04-30,0.02824360105913515,-0.026037069726390083,-0.026037069726390083,-0.013239187996469615,False,0.09984639016897079,0.04966717869943671,,,1.4831327930891365,2.0890461592163216,2.5795359040025883,0.04780487804878053,False,True,,,,,,,,,,,,,,,,,True
2026-04-29,600830,9.73,10.29,9.71,10.14,32176476.0,,3.168936188623528,2026-04-27,2026-04-28,9.786238670349121,fixed,3.0,10.0,,0.012987012987013102,0.027972027972027913,1.8702348899222176,10.14,2026-04-30,0.020710059171597628,-0.023668639053254448,-0.023668639053254448,-0.0039447731755425375,False,0.10034602076124566,0.0011534025374855261,,,3.157941383696723,4.257691911955194,4.891251425834391,0.10930232558139519,False,True,,,,,,,,,,,,,,,,,True
2026-04-29,002029,11.08,11.43,11.0,11.23,21298472.0,,2.301449052423151,2026-04-27,2026-04-28,5.713212966918945,fixed,3.0,10.0,,0.011711711711711814,0.029729729729729648,1.1302778812519698,11.23,2026-04-30,0.029385574354407806,-0.009795191451469343,-0.012466607301869992,0.008904719501335645,False,0.09980237154150218,0.06719367588932812,,,1.4883270550375336,1.7536298630782459,1.8629977801838407,0.04409005628517826,False,True,,,,,,,,,,,,,,,,,True
2026-04-30,603283,53.98,55.25,53.41,53.83,16728604.0,,1.4808284521992343,2026-04-28,2026-04-29,8.491005897521973,fixed,3.0,10.0,,0.0005576208178439401,0.02695167286245348,1.4250663704148403,53.83,2026-05-06,0.06446219580159762,0.01894854170536875,0.017276611554895016,0.04922905443061487,True,0.09999999999999987,0.05633802816901401,,,1.3788673472336324,1.3305211986382053,1.362710100594997,0.041333333333333444,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,600111,53.12,55.55,52.51,55.52,238914749.0,,6.125129004513733,2026-04-29,2026-04-30,7.505285739898682,fixed,3.0,10.0,,0.046757164404223284,0.04732277526395179,1.4494125640914046,55.52,2026-05-07,0.01729106628242061,-0.0037824207492795914,-0.01693083573487042,0.00018011527377526093,False,0.09995682210708123,0.025474956822107098,,,1.833000898636993,1.7954154496648211,1.9482286268208227,0.07285744367235214,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,603013,20.41,20.85,20.36,20.74,11270400.0,,5.192266267684172,2026-04-29,2026-04-30,3.7466509342193604,fixed,3.0,10.0,,0.016168544830965192,0.02155805977462033,3.575411784587652,20.74,2026-05-07,0.025072324011572,0.013982642237222898,-0.005785920925747257,-0.00048216007714552145,False,0.09994508511806699,0.06919275123558477,,,1.6523838187019466,1.7017365982970492,1.7179265340278953,0.028762198253723836,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,002174,10.32,10.55,10.2,10.48,44186088.0,,4.839646293138252,2026-04-29,2026-04-30,7.156012058258057,fixed,3.0,10.0,,0.0234375,0.0302734375,2.4958962931382516,10.48,2026-05-07,0.02099236641221358,0.018129770992366456,-0.007633587786259555,-0.001908396946564861,False,0.1005405405405404,0.06486486486486487,,,1.2177957952254435,1.4409669410336943,1.7200805202534983,0.041965199590583424,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,002786,7.82,8.05,7.76,8.05,28675804.0,,4.7692984338471796,2026-04-29,2026-04-30,8.974675178527832,fixed,3.0,10.0,,0.026785714285714413,0.026785714285714413,2.0907270052757387,8.05,2026-05-07,0.001242236024844745,-0.011180124223602594,-0.018633540372670843,-0.006211180124223725,False,0.10056657223796028,0.04532577903682733,,,2.059810655870369,2.7727265816648656,3.109559034846991,0.05284552845528445,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,605158,8.05,8.29,7.83,8.22,14143470.0,,4.249905441833695,2026-04-29,2026-04-30,4.565463066101074,fixed,3.0,10.0,,0.02621722846441954,0.03495630461922583,1.628182595391741,8.22,2026-05-07,0.09975669099756668,0.09975669099756668,0.0024330900243307862,0.0024330900243307862,True,0.09971910112359539,-0.004213483146067398,,,2.24193150483192,2.760128802186971,3.692075343842111,0.10906515580736542,False,True,,,,,,,,,,,,,,,,,False
2026-05-06,001203,52.4,53.5,51.15,53.3,34629450.0,,3.329250210457441,2026-04-29,2026-04-30,3.527292490005493,fixed,3.0,10.0,,0.01892563563372196,0.02274899636780736,1.436686647085245,53.3,2026-05-07,-0.011069418386491447,-0.06022514071294549,-0.09943714821763594,-0.011069418386491447,False,0.09991423670668942,0.0006432246998284707,,,1.1158877420145723,1.134947047333604,1.135912538720095,0.10679611650485432,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,603508,26.26,26.98,26.02,26.7,10646702.0,,3.0813135025070815,2026-04-29,2026-04-30,4.526886463165283,fixed,3.0,10.0,,0.020642201834862428,0.031345565749235416,1.0170933190208387,26.7,2026-05-07,0.004868913857677848,-0.004494382022471988,-0.008614232209737893,-0.0007490636704119424,False,0.1000841042893188,0.04962153069806563,,,3.069036496417954,4.081133073295132,4.472366262224329,0.04807692307692313,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,002756,87.48,89.88,85.0,88.39,26805282.0,,2.8302072989740137,2026-04-29,2026-04-30,7.852743148803711,fixed,3.0,10.0,,0.013182026593305807,0.030261348005502064,1.512004639643433,88.39,2026-05-07,0.0030546441905192623,-0.06165855866048198,-0.08632198212467468,-0.004412263830750107,False,0.10002625360987127,0.0005250721974270345,,,0.905274020838541,0.9626495949448524,1.0403225309620214,0.09944896352663335,False,True,,,,,,,,,,,,,,,,,True
2026-05-06,600135,11.38,11.66,11.35,11.46,32940191.0,,2.2892877440742834,2026-04-29,2026-04-30,8.569038391113281,fixed,3.0,10.0,,0.002624671916010568,0.02012248468941391,2.0268205524732266,11.46,2026-05-07,0.03141361256544495,0.011343804537521818,0.0,0.005235602094240788,True,0.1002004008016033,0.014028056112224352,,,1.209750710568442,0.9041385965086614,0.918402614620521,0.09253731343283578,False,True,,,,,,,,,,,,,,,,,True
2026-05-07,603726,25.46,26.18,25.2,26.06,10293320.0,,4.466900082279983,2026-04-30,2026-05-06,7.539421081542969,fixed,3.0,10.0,,0.026792750197005555,0.03152088258471242,1.7876250625794277,26.06,2026-05-08,0.008058326937835814,-0.009976976208748933,-0.01726784343821952,-0.002302379125095899,False,0.10004426737494465,0.027888446215139417,,,1.1089620521758383,1.708032235307077,2.4120656975096657,0.07343412526997861,False,True,,,,,,,,,,,,,,,,,True
2026-05-07,605099,49.29,51.88,48.01,50.89,10157398.0,,4.402096694602157,2026-04-30,2026-05-06,3.064464569091797,fixed,3.0,10.0,,0.027250706499798216,0.04723455793298359,1.6770260446223353,50.89,2026-05-08,0.031636863823933936,-0.011397131067007238,-0.03399489094124586,-0.01179013558655928,True,0.09995456610631526,0.019990913221263007,348438432.0,1.8273208141326904,1.4264205545192252,1.7407571545300273,1.446552589121874,0.07839643652561246,False,True,,,,,,,,,,,,,,,,,True
2026-05-07,605123,111.81,114.3,110.52,112.42,5997368.0,,3.299465815398528,2026-04-30,2026-05-06,6.850832462310791,fixed,3.0,10.0,,0.017375565610859844,0.03438914027149309,1.5619092543125435,112.42,2026-05-08,0.04340864614837203,0.03638142679238565,-0.012631204412026364,-0.012631204412026364,True,0.10004121162167734,0.030290541932824988,,,1.8751017852390022,1.677841359061139,1.8469836922006033,0.06866179561605446,False,True,,,,,,,,,,,,,,,,,True
2026-05-07,603698,43.99,44.64,43.0,44.26,38961206.0,,1.598532411882563,2026-04-30,2026-05-06,9.741554260253906,fixed,3.0,10.0,,0.005223711106064011,0.013854190324778637,1.076161301276162,44.26,2026-05-08,0.0490284681427926,0.02010845006778128,-0.017171260732037896,-0.010393131495707197,True,0.10007505629221924,0.02001501125844385,,,1.4259241311121964,1.0380287066152294,1.3362223272202127,0.09269383697813116,False,True,,,,,,,,,,,,,,,,,True
2026-05-08,603001,9.55,9.84,9.4,9.79,17197172.0,,6.1782807622118,2026-05-06,2026-05-07,6.675919532775879,fixed,3.0,10.0,,0.045940170940171,0.05128205128205132,1.5842636681947009,9.79,2026-05-11,0.0010214504596528506,-0.06026557711950964,-0.06332992849846775,-0.01736465781409602,False,0.09963547995139743,0.009720534629404698,,,1.2397516662704597,1.5365081891036863,1.8858470573349249,0.0929951690821258,False,True,,,,,,,,,,,,,,,,,True
2026-05-08,001316,59.27,61.32,56.88,60.7,7676174.0,,3.450749575955408,2026-05-06,2026-05-07,9.485288619995117,fixed,3.0,10.0,,0.012172753043188322,0.022511255627813975,2.2334742716365756,60.7,2026-05-11,0.04728171334431619,0.027347611202635846,-0.017133443163097284,0.0006589785831960793,True,0.10000000000000009,0.050096339113680166,265350395.0,4.246876239776611,1.6547964370755057,1.6367502500186741,1.6688982587508425,0.057222222222222285,False,True,,,,,,,,,,,,,,,,,True
2026-05-08,603063,50.58,52.42,49.5,51.5,35093205.0,,2.5901321057361333,2026-05-06,2026-05-07,9.68947696685791,fixed,3.0,10.0,,0.014778325123152802,0.03290640394088684,1.1122995934208528,51.5,2026-05-11,0.09999999999999987,0.09999999999999987,0.005825242718446644,0.005825242718446644,True,0.10004557885141296,0.005013673655423823,,,1.075824010573023,0.9732276502719862,0.9455002880162651,0.09904371584699456,False,True,,,,,,,,,,,,,,,,,True
2026-05-11,605168,52.44,55.94,51.57,54.4,15656649.0,,5.856193818183766,2026-05-07,2026-05-08,9.35677433013916,fixed,3.0,10.0,,0.04615384615384621,0.07576923076923081,1.2408092027991453,54.4,2026-05-12,0.043933823529411775,0.006433823529411686,-0.014705882352941124,0.0,True,0.09995791245791241,0.011153198653198526,,,0.8387191963569757,1.150094956807877,1.7015269890335514,0.09603690501153284,False,True,,,,,,,,,,,,,,,,,True
2026-05-11,603895,32.21,33.5,31.58,33.18,4340350.0,,5.346290652872281,2026-05-07,2026-05-08,4.623704433441162,fixed,3.0,10.0,,0.0401253918495299,0.050156739811912265,1.3337514679192912,33.18,2026-05-12,0.10006027727546707,0.10006027727546707,-0.010247136829415249,-0.010247136829415249,True,0.09989594172736749,-0.0027748872702045846,,,1.634102089948013,1.6432079306228384,1.7939066161198798,0.10295652173913039,False,True,,,,,,,,,,,,,,,,,False
2026-05-11,600707,9.03,9.44,8.87,9.15,221760784.0,,4.437140744612805,2026-05-07,2026-05-08,5.946744918823242,fixed,3.0,10.0,,0.03040540540540526,0.06306306306306286,1.3966002040722785,9.15,2026-05-12,0.07431693989071042,0.03825136612021862,-0.004371584699453646,0.017486338797814138,True,0.09975669099756668,0.024330900243308973,,,1.052795489655747,0.8951942403039702,1.1237441793167298,0.07491082045184294,False,True,,,,,,,,,,,,,,,,,True
2026-05-11,002384,212.0,222.6,208.47,218.3,89441520.0,,4.301936927024365,2026-05-07,2026-05-08,6.458770751953125,fixed,3.0,10.0,,0.03268839585600092,0.05302994465206501,1.0330973414242735,218.3,2026-05-12,0.05359596885020612,0.0053137883646356965,-0.0219422812643153,0.02414109024278499,True,0.10001042318115494,-0.017979987492182548,,,0.9837783281096193,0.9199988039166189,0.9442998028099509,0.13600645855758864,False,True,,,,,,,,,,,,,,,,,True
2026-05-11,605598,59.98,62.5,57.75,59.5,12412429.0,,3.89628635253298,2026-05-07,2026-05-08,7.248450756072998,fixed,3.0,10.0,,0.013974096796182778,0.0650988411724609,2.4988766729147023,59.5,2026-05-12,0.04201680672268915,-0.02857142857142858,-0.037142857142857144,0.04201680672268915,True,0.10006088897909482,0.0030444489547392095,,,1.227708778794335,1.1048035321870786,1.1613513600118883,0.09983766233766245,False,True,,,,,,,,,,,,,,,,,True
2026-05-11,603950,68.5,70.86,65.11,70.05,16459950.0,,3.697420161285769,2026-05-07,2026-05-08,5.570802688598633,fixed,3.0,10.0,,0.02262773722627731,0.034452554744525576,1.434646438658038,70.05,2026-05-12,0.10007137758743756,0.08493932905067814,-0.011134903640256932,0.0,True,0.09999999999999987,0.005344827586206913,,,1.322522801021231,1.1826084450655998,0.9801833868328244,0.11890564714135388,False,True,,,,,,,,,,,,,,,,,True
2026-05-11,601868,3.23,3.41,3.23,3.25,1691438208.0,,3.0017961627549457,2026-05-07,2026-05-08,7.17065954208374,fixed,3.0,10.0,,0.009316770186335255,0.05900621118012417,2.07011914412142,3.25,2026-05-12,0.04307692307692301,0.021538461538461506,-0.027692307692307683,0.0,True,0.09859154929577474,0.0035211267605634866,,,1.8633915901588858,1.5429442396758815,1.62976448242026,0.09473684210526323,False,True,,,,,,,,,,,,,,,,,True
2026-05-11,605218,18.74,18.9,18.27,18.49,6381100.0,,2.3985625839195555,2026-05-07,2026-05-08,5.172564506530762,fixed,3.0,10.0,,0.007629427792915422,0.029972752043596618,1.6356198046280133,18.49,2026-05-12,0.010275824770145991,-0.010816657652785278,-0.020551649540291983,0.009194159004867641,False,0.10024154589371981,0.006038647342995196,,,1.33728779379055,1.7551545400436392,2.2004337444520226,0.10357359176256797,False,True,,,,,,,,,,,,,,,,,True
2026-05-13,002179,40.82,42.5,40.71,41.9,87365931.0,,3.855161998461867,2026-05-11,2026-05-12,6.729087829589844,fixed,3.0,10.0,,0.025703794369644983,0.04039167686658507,1.2847825614973682,41.9,2026-05-14,0.021479713603818507,-0.03627684964200473,-0.03627684964200473,0.014319809069212486,False,0.09994582881906822,0.020585048754062862,,,2.0708640254626918,2.4395281797790997,2.6948250995697225,0.07776008492569009,False,True,,,,,,,,,,,,,,,,,True
2026-05-13,001207,20.14,20.66,19.69,20.45,15408590.0,,2.938679708725931,2026-05-11,2026-05-12,8.040335655212402,fixed,3.0,10.0,,0.015392254220456758,0.02581926514399213,1.3994542866802553,20.45,2026-05-14,0.0337408312958436,0.018581907090464478,-0.019070904645476783,-0.003911980440097662,True,0.0997782705099779,0.001662971175166339,,,2.079219766540911,2.2452851196589116,2.2746739451727254,0.10038824181919015,False,True,,,,,,,,,,,,,,,,,True
2026-05-13,603150,72.42,74.57,71.98,73.9,2387700.0,,2.893547366875652,2026-05-11,2026-05-12,4.701859951019287,fixed,3.0,10.0,,0.01330042506513096,0.022487316604963503,1.5635048603625559,73.9,2026-05-14,0.05277401894451961,-0.016238159675236896,-0.016238159675236896,0.005953991880920162,True,0.10000000000000009,0.0029940119760478723,,,1.0075481462505953,1.1069609590983551,0.9714868017336932,0.12251756798044622,False,True,,,,,,,,,,,,,,,,,True
2026-05-14,603895,37.55,39.15,37.41,38.56,6161192.0,,3.0056040401735222,2026-05-12,2026-05-13,7.970854759216309,fixed,3.0,10.0,,0.0126050420168069,0.02809873949579833,1.745099838492832,38.56,2026-05-15,0.04668049792531104,0.0274896265560165,-0.01322614107883835,0.008558091286307024,True,0.10006027727546707,-0.010247136829415249,,,1.186182211790134,1.652569211600014,1.9120526868260646,0.11144945188794142,False,True,,,,,,,,,,,,,,,,,False
2026-05-15,603790,28.58,29.8,28.58,29.03,6813094.0,,4.216295891030299,2026-05-13,2026-05-14,4.190375328063965,fixed,3.0,10.0,,0.031994312122289426,0.05936722360469249,1.0168646788013562,29.03,2026-05-18,0.019979331725800797,-0.01515673441267662,-0.05270409920771624,0.019979331725800797,False,0.09992254066615014,0.006584043377226845,,,1.6020904081704963,1.6801133195368394,2.186461485575724,0.10937499999999978,False,True,,,,,,,,,,,,,,,,,False
