factor,bucket,count,hit_rate,avg_next_high_return,avg_next_close_return,avg_next_low_return
is_yizi,non_yizi,51,0.45098039215686275,0.033192768852691054,0.005419867851872193,-0.02033753833426172
limit_day_vol_ratio_5,"(-inf, 1.0]",10,0.5,0.03572968517832856,0.005226471108209826,-0.026573163700783317
limit_day_vol_ratio_5,"(1.0, 1.5]",23,0.4782608695652174,0.033460663931581903,0.0018823853878976496,-0.020958590376969587
limit_day_vol_ratio_5,"(1.5, 2.5]",15,0.4,0.03235801927771157,0.014278825169595426,-0.01798574786303103
limit_day_vol_ratio_5,"(2.5, 4.0]",3,0.3333333333333333,0.027991044537739002,-0.005332523651357353,-0.009138897071443516
open_board_count,unknown,51,0.45098039215686275,0.033192768852691054,0.005419867851872193,-0.02033753833426172
volume_ratio,"(1.0, 1.5]",22,0.4090909090909091,0.036277913099079406,0.011285042044278226,-0.021629111608058728
volume_ratio,"(1.5, 2.0]",13,0.5384615384615384,0.027068900177126657,-0.0071874814380148335,-0.023420919392336283
volume_ratio,"(2.0, 3.0]",12,0.5,0.03015720646470744,0.0062111403403140135,-0.01731558612310078
volume_ratio,"(3.0, 5.0]",4,0.25,0.05029230022682104,0.01804922103438907,-0.009446223364882026
wash_turnover_tier,100e_300e,12,0.6666666666666666,0.05206228721800201,0.02589554247367789,-0.011709865366003047
wash_turnover_tier,50e_100e,18,0.3888888888888889,0.02896107823191303,0.004140528186859713,-0.01869696831852851
wash_turnover_tier,gte_300e,8,0.375,0.02606834303695979,-0.013496771464640747,-0.04198067154495752
wash_turnover_tier,lt_50e,13,0.38461538461538464,0.02827025137616713,0.0028849296175834393,-0.015674521738011853
