date,code,action,price,quantity,amount,commission,slippage,pnl,return_pct
2024-01-10,603390,BUY,11.05306,301575.61194215296,3333333.3333333335,0.0,9970.089730807576,0.0,0.0
2024-01-10,603908,BUY,40.77195,81755.55334815562,3333333.333333333,0.0,9970.089730807578,0.0,0.0
2024-01-10,603273,BUY,26.85031,124145.05952941823,3333333.3333333335,0.0,9970.089730807578,0.0,0.0
2024-01-12,603390,SELL_TRAILING_STOP,10.33,301575.61194215296,3115276.07136244,0.0,0.0,-218057.2619708932,-0.06541717859126794
2024-01-12,603908,SELL_TRAILING_STOP,38.88,81755.55334815562,3178655.914176291,0.0,0.0,-154677.41915704255,-0.04640322574711275
2024-01-12,603273,SELL_TIME_STOP,28.42,124145.05952941823,3528202.5918260664,0.0,0.0,194869.25849273265,0.058460777547819864
2024-01-12,603168,BUY,12.38705,264311.91115896025,3274044.859121599,0.0,9792.756308439477,0.0,0.0
2024-01-15,603168,SELL_STOP_DYNAMIC,12.27,264311.91115896025,3243107.149920442,0.0,0.0,-30937.7092011565,-0.009449384639603542
2024-01-15,603211,BUY,20.661800000000003,157959.72709966605,3263732.2893878804,0.0,9761.911134759363,0.0,0.0
2024-01-16,600319,BUY,5.987909999999999,545053.6646990153,3263732.2893878804,0.0,9761.911134759364,0.0,0.0
2024-01-17,603211,SELL_TRAILING_STOP,19.51,157959.72709966605,3081794.275714485,0.0,0.0,-181938.0136733956,-0.055745385203612496
2024-01-18,600319,SELL_TIME_STOP,6.19,545053.6646990153,3373882.184486905,0.0,0.0,110149.89509902455,0.03374967225626313
2024-01-18,002162,BUY,4.7141,687257.9954879526,3239802.9165297574,0.0,9690.337736380132,0.0,0.0
2024-01-19,002162,SELL_STOP_DYNAMIC,4.46,687257.9954879526,3065170.659876269,0.0,0.0,-174632.2566534889,-0.05390212341698308
2024-01-19,605577,BUY,22.80822,139493.22500010644,3181592.1643119273,0.0,9516.227809507262,0.0,0.0
2024-01-22,601226,BUY,7.45229,426928.12065981433,3181592.1643119277,0.0,9516.227809507262,0.0,0.0
2024-01-23,605577,SELL_TRAILING_STOP,27.2,139493.22500010644,3794215.720002895,0.0,0.0,612623.5556909676,0.19255250957768744
2024-01-23,601226,SELL_STOP_DYNAMIC,6.55,426928.12065981433,2796379.190321784,0.0,0.0,-385212.9739901438,-0.12107553517106817
2024-01-23,002097,BUY,6.238659999999999,522130.66452499985,3257395.6915455353,0.0,9742.958200036497,0.0,0.0
2024-01-23,600053,BUY,15.40608,211435.72482718094,3257395.6915455353,0.0,9742.958200036497,0.0,0.0
2024-01-23,000158,BUY,8.36502,389406.8025594124,3257395.6915455353,0.0,9742.958200036497,0.0,0.0
2024-01-24,000158,SELL_STOP_DYNAMIC,8.26,389406.8025594124,3216500.1891407464,0.0,0.0,-40895.50240478936,-0.012554662152630791
2024-01-24,002915,BUY,15.115210000000001,212798.90845980617,3216500.1891407473,0.0,9620.638651467838,0.0,0.0
2024-01-25,002097,SELL_TIME_STOP,6.71,522130.66452499985,3503496.758962749,0.0,0.0,246101.06741721372,0.07555148060641237
2024-01-25,600053,SELL_TIME_STOP,21.03,211435.72482718094,4446493.293115615,0.0,0.0,1189097.6015700798,0.365045488534397
2024-01-25,002915,SELL_STOP_DYNAMIC,14.48,212798.90845980617,3081328.1944979937,0.0,0.0,-135171.99464275362,-0.04202455672134231
2024-01-25,601096,BUY,6.69001,549641.3431657231,3677106.0821921197,0.0,10998.32327674612,0.0,0.0
2024-01-25,601519,BUY,7.9237,464064.273280427,3677106.082192119,0.0,10998.32327674612,0.0,0.0
2024-01-25,603877,BUY,17.76313,207007.77859488272,3677106.082192119,0.0,10998.32327674612,0.0,0.0
2024-01-26,601096,SELL_TRAILING_STOP,6.86,549641.3431657231,3770539.614116861,0.0,0.0,93433.53192474144,0.025409528535831782
