code,name,buy_date,buy_price,sell_date,sell_price,shares,gross_pnl,return_pct,is_profit,target_price,target_hit,target_high_return_pct,next_open_return_pct,next_low_return_pct,limit_date,wash_date
001268,,2026-05-07,39.31,2026-05-08,39.61,1,0.29999999999999716,0.7631645891630567,True,40.4893,False,1.5517679979649035,0.10175527855507127,-2.060544390740271,2026-04-30,2026-05-06
600052,,2026-05-07,4.54,2026-05-08,4.6,1,0.05999999999999961,1.3215859030836885,True,4.676200000000001,True,3.3039647577092657,1.1013215859030812,-0.8810572687224627,2026-04-30,2026-05-06
603030,,2026-05-07,2.87,2026-05-08,3.0599999999999996,1,0.1899999999999995,6.6202090592334395,True,2.9561,True,9.756097560975597,1.0452961672473782,0.34843205574912606,2026-04-30,2026-05-06
603131,,2026-05-07,24.33,2026-05-08,25.05,1,0.7200000000000024,2.959309494451312,True,25.0599,True,4.7266748869708275,-1.8906699547883155,-2.178380600082197,2026-04-30,2026-05-06
603698,,2026-05-07,44.26,2026-05-08,45.15,1,0.8900000000000006,2.010845006778128,True,45.5878,True,4.90284681427926,-1.0393131495707197,-1.7171260732037896,2026-04-30,2026-05-06
603726,,2026-05-07,26.06,2026-05-08,25.8,1,-0.259999999999998,-0.9976976208748933,False,26.8418,False,0.8058326937835814,-0.23023791250958991,-1.7267843438219521,2026-04-30,2026-05-06
605099,,2026-05-07,50.89,2026-05-08,50.31,1,-0.5799999999999983,-1.1397131067007238,False,52.4167,True,3.1636863823933936,-1.179013558655928,-3.399489094124586,2026-04-30,2026-05-06
605123,,2026-05-07,112.42,2026-05-08,116.50999999999999,1,4.089999999999989,3.638142679238565,True,115.79260000000001,True,4.340864614837203,-1.2631204412026364,-1.2631204412026364,2026-04-30,2026-05-06
001316,,2026-05-08,60.7,2026-05-11,62.36,1,1.6599999999999966,2.7347611202635846,True,62.52100000000001,True,4.728171334431619,0.06589785831960793,-1.7133443163097284,2026-05-06,2026-05-07
603001,,2026-05-08,9.79,2026-05-11,9.2,1,-0.5899999999999999,-6.026557711950964,False,10.083699999999999,False,0.10214504596528506,-1.7364657814096018,-6.332992849846775,2026-05-06,2026-05-07
603063,,2026-05-08,51.5,2026-05-11,56.64999999999999,1,5.1499999999999915,9.999999999999986,True,53.045,True,9.999999999999986,0.5825242718446644,0.5825242718446644,2026-05-06,2026-05-07
002350,,2026-05-11,17.38,2026-05-12,16.64,1,-0.7399999999999984,-4.257767548906777,False,17.9014,False,-0.7479861910241636,-0.7479861910241636,-5.696202531645556,2026-05-07,2026-05-08
002384,,2026-05-11,218.3,2026-05-12,219.45999999999998,1,1.1599999999999682,0.5313788364635696,True,224.84900000000002,True,5.359596885020612,2.414109024278499,-2.19422812643153,2026-05-07,2026-05-08
002915,,2026-05-11,21.37,2026-05-12,20.82,1,-0.5500000000000007,-2.573701450631727,False,22.011100000000003,False,0.8890968647636832,-0.0935891436593339,-3.0416471689284186,2026-05-07,2026-05-08
600707,,2026-05-11,9.15,2026-05-12,9.5,1,0.34999999999999964,3.825136612021862,True,9.4245,True,7.431693989071042,1.7486338797814138,-0.43715846994536456,2026-05-07,2026-05-08
601868,,2026-05-11,3.25,2026-05-12,3.32,1,0.06999999999999984,2.1538461538461506,True,3.3475,True,4.307692307692301,0.0,-2.7692307692307683,2026-05-07,2026-05-08
603256,,2026-05-11,149.98,2026-05-12,148.31,1,-1.6699999999999875,-1.1134817975730016,False,154.4794,False,0.6800906787571837,-1.9869315908787821,-4.287238298439777,2026-05-07,2026-05-08
603950,,2026-05-11,70.05,2026-05-12,76.0,1,5.950000000000003,8.493932905067814,True,72.1515,True,10.007137758743756,0.0,-1.1134903640256932,2026-05-07,2026-05-08
605168,,2026-05-11,54.4,2026-05-12,54.74999999999999,1,0.3499999999999943,0.6433823529411686,True,56.032,True,4.3933823529411775,0.0,-1.4705882352941124,2026-05-07,2026-05-08
605218,,2026-05-11,18.49,2026-05-12,18.29,1,-0.1999999999999993,-1.0816657652785278,False,19.0447,False,1.0275824770145991,0.9194159004867641,-2.0551649540291983,2026-05-07,2026-05-08
605598,,2026-05-11,59.5,2026-05-12,57.8,1,-1.7000000000000028,-2.857142857142858,False,61.285000000000004,True,4.201680672268915,4.201680672268915,-3.7142857142857144,2026-05-07,2026-05-08
001207,,2026-05-13,20.45,2026-05-14,20.83,1,0.379999999999999,1.8581907090464478,True,21.0635,True,3.37408312958436,-0.3911980440097662,-1.9070904645476783,2026-05-11,2026-05-12
002179,,2026-05-13,41.9,2026-05-14,40.38,1,-1.519999999999996,-3.6276849642004727,False,43.157,False,2.1479713603818507,1.4319809069212486,-3.6276849642004727,2026-05-11,2026-05-12
603150,,2026-05-13,73.9,2026-05-14,72.7,1,-1.2000000000000028,-1.6238159675236896,False,76.117,True,5.277401894451961,0.5953991880920162,-1.6238159675236896,2026-05-11,2026-05-12
600339,,2026-05-20,4.27,,,1,,,False,4.3980999999999995,False,,,,2026-05-18,2026-05-19
603191,,2026-05-20,23.28,,,1,,,False,23.9784,False,,,,2026-05-18,2026-05-19
603360,,2026-05-20,24.1,,,1,,,False,24.823,False,,,,2026-05-18,2026-05-19
603726,,2026-05-20,29.82,,,1,,,False,30.7146,False,,,,2026-05-18,2026-05-19
