factor,bucket,count,hit_rate,avg_next_high_return,avg_next_close_return,avg_next_low_return
is_yizi,non_yizi,28,0.5714285714285714,0.03988811511207425,0.009272773596172975,-0.022616545449578574
limit_day_vol_ratio_5,"(-inf, 1.0]",7,0.5714285714285714,0.04698626447080767,0.01600614870829773,-0.016969359746277512
limit_day_vol_ratio_5,"(1.0, 1.5]",13,0.5384615384615384,0.037394527999750925,0.003488474680015913,-0.024873982807904878
limit_day_vol_ratio_5,"(1.5, 2.5]",8,0.625,0.0393757627231636,0.01619427532107598,-0.022431419259289136
open_board_count,unknown,28,0.5714285714285714,0.03988811511207425,0.009272773596172975,-0.022616545449578574
volume_ratio,"(1.0, 1.5]",13,0.5384615384615384,0.044636895250654514,0.01738826972800162,-0.021753479678754163
volume_ratio,"(1.5, 2.0]",7,0.5714285714285714,0.02574496838022184,-0.008442459414295065,-0.024689178456101857
volume_ratio,"(2.0, 3.0]",6,0.6666666666666666,0.03770663213225469,0.004834144921572925,-0.026833777137673653
volume_ratio,"(3.0, 5.0]",2,0.5,0.09756097560975596,0.0662020905923344,0.0034843205574912606
wash_turnover_tier,100e_300e,9,0.7777777777777778,0.058585140850662416,0.029699209971688685,-0.01727939378613124
wash_turnover_tier,50e_100e,8,0.5,0.030412403198630478,-0.0015050394055014145,-0.026934135081728778
wash_turnover_tier,gte_300e,5,0.6,0.03985409044184598,0.0035383896811162162,-0.026631081256495825
wash_turnover_tier,lt_50e,6,0.3333333333333333,0.027578984222355385,0.0009983974222929997,-0.021180186252352556
